00001 A00     0 Cholera                                                      Cholera
56967 S68622A 1 Partial traumatic trnsphal amputation of r mid finger, init  Partial traumatic transphalangeal amputation of right middle finger, initial encounter
56968 S68622D 1 Partial traumatic trnsphal amputation of r mid finger, subs  Partial traumatic transphalangeal amputation of right middle finger, subsequent encounter
56969 S68622S 1 Partial traumatic trnsphal amp of r mid finger, sequela      Partial traumatic transphalangeal amputation of right middle finger, sequela
56970 S68623  0 Partial traumatic transphalangeal amputation of l mid finger Partial traumatic transphalangeal amputation of left middle finger
56971 S68623A 1 Partial traumatic trnsphal amputation of l mid finger, init  Partial traumatic transphalangeal amputation of left middle finger, initial encounter
56972 S68623D 1 Partial traumatic trnsphal amputation of l mid finger, subs  Partial traumatic transphalangeal amputation of left middle finger, subsequent encounter
56973 S68623S 1 Partial traumatic trnsphal amp of l mid finger, sequela      Partial traumatic transphalangeal amputation of left middle finger, sequela
56974 S68624  0 Partial traumatic transphalangeal amputation of r rng fngr   Partial traumatic transphalangeal amputation of right ring finger
56975 S68624A 1 Partial traumatic trnsphal amputation of r rng fngr, init    Partial traumatic transphalangeal amputation of right ring finger, initial encounter
56976 S68624D 1 Partial traumatic trnsphal amputation of r rng fngr, subs    Partial traumatic transphalangeal amputation of right ring finger, subsequent encounter
56977 S68624S 1 Partial traumatic trnsphal amputation of r rng fngr, sequela Partial traumatic transphalangeal amputation of right ring finger, sequela
56978 S68625  0 Partial traumatic transphalangeal amputation of l rng fngr   Partial traumatic transphalangeal amputation of left ring finger
56979 S68625A 1 Partial traumatic trnsphal amputation of l rng fngr, init    Partial traumatic transphalangeal amputation of left ring finger, initial encounter
56980 S68625D 1 Partial traumatic trnsphal amputation of l rng fngr, subs    Partial traumatic transphalangeal amputation of left ring finger, subsequent encounter
56981 S68625S 1 Partial traumatic trnsphal amputation of l rng fngr, sequela Partial traumatic transphalangeal amputation of left ring finger, sequela
56982 S68626  0 Partial traumatic trnsphal amputation of r little finger     Partial traumatic transphalangeal amputation of right little finger
56983 S68626A 1 Partial traumatic trnsphal amp of r little finger, init      Partial traumatic transphalangeal amputation of right little finger, initial encounter
56984 S68626D 1 Partial traumatic trnsphal amp of r little finger, subs      Partial traumatic transphalangeal amputation of right little finger, subsequent encounter
56985 S68626S 1 Partial traumatic trnsphal amp of r little finger, sequela   Partial traumatic transphalangeal amputation of right little finger, sequela
56986 S68627  0 Partial traumatic trnsphal amputation of l little finger     Partial traumatic transphalangeal amputation of left little finger
56987 S68627A 1 Partial traumatic trnsphal amp of l little finger, init      Partial traumatic transphalangeal amputation of left little finger, initial encounter
56988 S68627D 1 Partial traumatic trnsphal amp of l little finger, subs      Partial traumatic transphalangeal amputation of left little finger, subsequent encounter
56989 S68627S 1 Partial traumatic trnsphal amp of l little finger, sequela   Partial traumatic transphalangeal amputation of left little finger, sequela
56990 S68628  0 Partial traumatic transphalangeal amputation of other finger Partial traumatic transphalangeal amputation of other finger
56991 S68628A 1 Partial traumatic transphalangeal amputation of finger, init Partial traumatic transphalangeal amputation of other finger, initial encounter
56992 S68628D 1 Partial traumatic transphalangeal amputation of finger, subs Partial traumatic transphalangeal amputation of other finger, subsequent encounter
56993 S68628S 1 Partial traumatic trnsphal amputation of finger, sequela     Partial traumatic transphalangeal amputation of other finger, sequela
56994 S68629  0 Partial traumatic transphalangeal amputation of unsp finger  Partial traumatic transphalangeal amputation of unspecified finger
56995 S68629A 1 Partial traumatic trnsphal amputation of unsp finger, init   Partial traumatic transphalangeal amputation of unspecified finger, initial encounter
56996 S68629D 1 Partial traumatic trnsphal amputation of unsp finger, subs   Partial traumatic transphalangeal amputation of unspecified finger, subsequent encounter
56997 S68629S 1 Partial traumatic trnsphal amp of unsp finger, sequela       Partial traumatic transphalangeal amputation of unspecified finger, sequela
56998 S687    0 Traumatic transmetacarpal amputation of hand                 Traumatic transmetacarpal amputation of hand
56999 S6871   0 Complete traumatic transmetacarpal amputation of hand        Complete traumatic transmetacarpal amputation of hand
57000 S68711  0 Complete traumatic transmetacarpal amputation of right hand  Complete traumatic transmetacarpal amputation of right hand
57001 S68711A 1 Complete traumatic transmetcrpl amp of right hand, init      Complete traumatic transmetacarpal amputation of right hand, initial encounter
57002 S68711D 1 Complete traumatic transmetcrpl amp of right hand, subs      Complete traumatic transmetacarpal amputation of right hand, subsequent encounter
57003 S68711S 1 Complete traumatic transmetcrpl amp of right hand, sequela   Complete traumatic transmetacarpal amputation of right hand, sequela
57004 S68712  0 Complete traumatic transmetacarpal amputation of left hand   Complete traumatic transmetacarpal amputation of left hand
57005 S68712A 1 Complete traumatic transmetcrpl amp of left hand, init       Complete traumatic transmetacarpal amputation of left hand, initial encounter
57006 S68712D 1 Complete traumatic transmetcrpl amp of left hand, subs       Complete traumatic transmetacarpal amputation of left hand, subsequent encounter
57007 S68712S 1 Complete traumatic transmetcrpl amp of left hand, sequela    Complete traumatic transmetacarpal amputation of left hand, sequela
57008 S68719  0 Complete traumatic transmetacarpal amputation of unsp hand   Complete traumatic transmetacarpal amputation of unspecified hand
57009 S68719A 1 Complete traumatic transmetcrpl amp of unsp hand, init       Complete traumatic transmetacarpal amputation of unspecified hand, initial encounter
57010 S68719D 1 Complete traumatic transmetcrpl amp of unsp hand, subs       Complete traumatic transmetacarpal amputation of unspecified hand, subsequent encounter
57011 S68719S 1 Complete traumatic transmetcrpl amp of unsp hand, sequela    Complete traumatic transmetacarpal amputation of unspecified hand, sequela
57012 S6872   0 Partial traumatic transmetacarpal amputation of hand         Partial traumatic transmetacarpal amputation of hand
57013 S68721  0 Partial traumatic transmetacarpal amputation of right hand   Partial traumatic transmetacarpal amputation of right hand
57014 S68721A 1 Partial traumatic transmetcrpl amp of right hand, init       Partial traumatic transmetacarpal amputation of right hand, initial encounter
57015 S68721D 1 Partial traumatic transmetcrpl amp of right hand, subs       Partial traumatic transmetacarpal amputation of right hand, subsequent encounter
57016 S68721S 1 Partial traumatic transmetcrpl amp of right hand, sequela    Partial traumatic transmetacarpal amputation of right hand, sequela
57017 S68722  0 Partial traumatic transmetacarpal amputation of left hand    Partial traumatic transmetacarpal amputation of left hand
57018 S68722A 1 Partial traumatic transmetcrpl amputation of left hand, init Partial traumatic transmetacarpal amputation of left hand, initial encounter
57019 S68722D 1 Partial traumatic transmetcrpl amputation of left hand, subs Partial traumatic transmetacarpal amputation of left hand, subsequent encounter
57020 S68722S 1 Partial traumatic transmetcrpl amp of left hand, sequela     Partial traumatic transmetacarpal amputation of left hand, sequela
57021 S68729  0 Partial traumatic transmetacarpal amputation of unsp hand    Partial traumatic transmetacarpal amputation of unspecified hand
57022 S68729A 1 Partial traumatic transmetcrpl amputation of unsp hand, init Partial traumatic transmetacarpal amputation of unspecified hand, initial encounter
57023 S68729D 1 Partial traumatic transmetcrpl amputation of unsp hand, subs Partial traumatic transmetacarpal amputation of unspecified hand, subsequent encounter
57024 S68729S 1 Partial traumatic transmetcrpl amp of unsp hand, sequela     Partial traumatic transmetacarpal amputation of unspecified hand, sequela
57025 S69     0 Other and unspecified injuries of wrist, hand and finger(s)  Other and unspecified injuries of wrist, hand and finger(s)
57026 S698    0 Other specified injuries of wrist, hand and finger(s)        Other specified injuries of wrist, hand and finger(s)
57027 S6980   0 Oth injuries of unspecified wrist, hand and finger(s)        Other specified injuries of unspecified wrist, hand and finger(s)
57028 S6980XA 1 Oth injuries of unsp wrist, hand and finger(s), init encntr  Other specified injuries of unspecified wrist, hand and finger(s), initial encounter
